name,Pres01,Pres02,Pres03,Pres04,Pres05,Pres06,Pres07,Deg01,Deg02,Deg03,Deg04,Deg05,Deg06,Deg07
Thermomicrobium,0.0,0.00265,0.00297,0.003,0.0014,0.00678,0.0,0.00373,0.0,0.0,0.00061,0.00173,0.00447,0.00238
Thermomonas,0.04588,0.04239,0.05042,0.07349,0.03929,0.04841,0.0362,0.04974,0.08108,0.0445,0.05874,0.05071,0.05139,0.04293
Thermomonospora,0.11052,0.10862,0.13197,0.10724,0.29047,0.42017,0.14479,0.12808,0.03185,0.05748,0.04905,0.04594,0.10724,0.06558
Thermophilibacter,0.00209,0.0053,0.00445,0.0,0.00281,0.0,0.0,0.0,0.0,0.0,0.00182,0.00563,0.00223,0.00477
Thermoplasma,0.0,0.0,0.0,0.0,0.0,0.0,0.00402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thermoproteus,0.0,0.0,0.0,0.0,0.0,0.0,0.00402,0.0,0.0,0.0,0.00182,0.00043,0.0,0.0
Thermosediminibacter,0.00209,0.0,0.0,0.0,0.0,0.00097,0.0,0.00249,0.00869,0.0,0.00242,0.0,0.00335,0.00238
Thermosipho,0.00209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thermosphaera,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thermospira,0.0,0.0,0.00148,0.0,0.0,0.00097,0.0,0.00124,0.0,0.00185,0.0,0.0,0.0,0.0
Thermostichus,0.00209,0.00132,0.0,0.00075,0.0,0.0,0.0,0.0,0.0,0.0,0.00182,0.0,0.0,0.00119
Thermosulfidibacter,0.0,0.0,0.0,0.00075,0.0,0.0,0.0,0.0,0.0029,0.0,0.00121,0.0,0.0,0.00119
Thermosulfurimonas,0.00417,0.00265,0.00148,0.00075,0.0,0.0029,0.0,0.00124,0.0029,0.0,0.0,0.00043,0.00223,0.0
Thermosulfuriphilus,0.00626,0.0,0.0,0.00225,0.00561,0.00097,0.00402,0.00373,0.00579,0.00185,0.0,0.0,0.00559,0.0
Thermosynechococcus,0.00834,0.00132,0.0,0.00375,0.00421,0.00194,0.0,0.00124,0.0,0.0,0.00182,0.00173,0.00223,0.00715
Thermothelomyces,0.00626,0.0,0.00148,0.0045,0.00281,0.00194,0.0,0.00373,0.0,0.00371,0.00182,0.00173,0.00223,0.00477
Thermothielavioides,0.00417,0.00132,0.00445,0.00225,0.01123,0.00678,0.0,0.00622,0.00579,0.00185,0.00606,0.00347,0.00223,0.0
Thermotoga,0.00626,0.00265,0.0,0.0,0.0014,0.0,0.00402,0.0,0.0,0.00185,0.0,0.0,0.0,0.00477
Thermotomaculum,0.00209,0.0,0.00445,0.0,0.0,0.00097,0.0,0.00249,0.0,0.0,0.00242,0.00043,0.0,0.00238
Thermovibrio,0.0,0.0,0.00148,0.0,0.0,0.0,0.00402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thermovirga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00124,0.0,0.0,0.0,0.00043,0.0,0.0
Thermus,0.02085,0.01457,0.01779,0.01125,0.01403,0.02517,0.00402,0.01865,0.04054,0.01669,0.02119,0.00867,0.04021,0.02981
Thioalkalivibrio,0.0855,0.05563,0.06969,0.08849,0.07437,0.05712,0.04826,0.07212,0.139,0.11495,0.05329,0.03511,0.09495,0.08108
Thiobacillus,0.06673,0.04636,0.06079,0.09899,0.07016,0.06486,0.04826,0.06466,0.08398,0.09456,0.03815,0.04031,0.0983,0.06916
Thiocapsa,0.03545,0.02517,0.0341,0.02475,0.02807,0.0213,0.01609,0.01741,0.06371,0.02225,0.02119,0.0182,0.03016,0.03577
Thioclava,0.01043,0.02119,0.01631,0.021,0.02105,0.01162,0.00402,0.02238,0.02317,0.01854,0.0436,0.08755,0.02234,0.01669
Thiocystis,0.0146,0.0106,0.01483,0.02025,0.00842,0.01162,0.00804,0.00746,0.01158,0.00742,0.00545,0.00997,0.02904,0.01073
Thiodiazotropha,0.00626,0.00265,0.00297,0.00375,0.00281,0.00097,0.00804,0.0,0.01158,0.00927,0.00182,0.00347,0.0067,0.0
Thiodictyon,0.01877,0.02119,0.03855,0.02625,0.02386,0.01162,0.02413,0.01617,0.03475,0.0241,0.01453,0.0208,0.04357,0.0155
Thioflavicoccus,0.01877,0.01192,0.01779,0.018,0.01263,0.01646,0.00402,0.01368,0.0029,0.01112,0.01514,0.01084,0.02234,0.02027
Thiohalobacter,0.02919,0.02384,0.04152,0.04349,0.04911,0.03679,0.02011,0.03731,0.03765,0.04264,0.0333,0.0195,0.06032,0.031
Thiolapillus,0.00417,0.00265,0.00297,0.0015,0.00421,0.00194,0.0,0.00249,0.00869,0.00185,0.00363,0.00303,0.0067,0.00358
Thiomicrorhabdus,0.00834,0.00662,0.00297,0.0105,0.01123,0.00387,0.01207,0.00124,0.00579,0.01669,0.01211,0.00433,0.03351,0.01312
Thiomicrospira,0.00209,0.00662,0.0,0.009,0.0014,0.00581,0.01609,0.00124,0.0029,0.00371,0.00787,0.00217,0.02904,0.00358
Thiomonas,0.08132,0.0755,0.06673,0.10499,0.06455,0.06971,0.04826,0.07337,0.12162,0.07972,0.12353,0.06631,0.105,0.09181
Thiopseudomonas,0.0,0.00132,0.0,0.0015,0.0014,0.0,0.00402,0.0,0.0,0.0,0.00061,0.0,0.00447,0.00238
Thiospirochaeta,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.00061,0.0,0.0,0.00119
Thiosulfatimonas,0.0,0.0,0.0,0.00075,0.0,0.0,0.00402,0.00124,0.0,0.0,0.0,0.0,0.00559,0.00238
Thiosulfativibrio,0.00417,0.0,0.0,0.00225,0.0,0.00097,0.0,0.0,0.0,0.0,0.00061,0.0013,0.0067,0.0
Thiothrix,0.01043,0.01854,0.00741,0.01425,0.00982,0.01452,0.01207,0.00995,0.03765,0.02225,0.02119,0.03814,0.09495,0.03577
Thomasclavelia,0.0,0.0,0.0,0.00075,0.0,0.00097,0.0,0.00124,0.0,0.00185,0.00303,0.00303,0.00112,0.0
Tichowtungia,0.0,0.00265,0.0,0.00375,0.00281,0.00194,0.0,0.00124,0.00579,0.0,0.00363,0.0,0.00112,0.00119
Tissierella,0.0,0.0,0.0,0.0,0.0,0.0,0.00402,0.0,0.0,0.00185,0.0,0.0,0.00112,0.0
Tistrella,0.03336,0.01854,0.02817,0.0315,0.03227,0.02711,0.02815,0.01492,0.01448,0.03523,0.01695,0.01387,0.03128,0.02265
Tolumonas,0.00209,0.00795,0.00297,0.01125,0.00982,0.00871,0.00804,0.00249,0.01448,0.00371,0.01453,0.29516,0.01452,0.01073
Tolypothrix,0.00209,0.0,0.00148,0.00075,0.0014,0.00097,0.0,0.0,0.0029,0.0,0.00061,0.0,0.00112,0.00358
Tomitella,0.01043,0.00662,0.02372,0.01725,0.01684,0.02808,0.00804,0.02114,0.00579,0.01112,0.01029,0.0117,0.01899,0.00596
Torulaspora,0.0,0.00132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00061,0.0,0.00112,0.0
Toxoplasma,0.00834,0.00265,0.0,0.00525,0.00281,0.00581,0.00402,0.00373,0.0,0.00185,0.00182,0.01647,0.0,0.00358
Trabulsiella,0.00209,0.0,0.00148,0.0,0.0,0.00097,0.0,0.00124,0.00869,0.0,0.0,0.00043,0.00782,0.00119
Treponema,0.00626,0.00662,0.01186,0.00675,0.01123,0.00581,0.01609,0.00622,0.00869,0.00556,0.00727,0.00347,0.0134,0.0155
Trichlorobacter,0.0417,0.11524,0.0089,0.0195,0.03508,0.01065,0.0362,0.02611,0.07239,0.04264,0.05813,0.02731,0.02681,0.10016
Trichococcus,0.0,0.00132,0.0,0.0045,0.00281,0.00097,0.0,0.00124,0.0,0.00371,0.04057,0.00173,0.00223,0.00238
Trichocoleus,0.0,0.00265,0.0,0.0,0.0014,0.00097,0.0,0.0,0.0,0.0,0.0,0.00043,0.00112,0.00358
Trichoderma,0.01043,0.00662,0.00741,0.00075,0.00561,0.0,0.0,0.00124,0.00579,0.00185,0.00242,0.00087,0.00335,0.00358
